family,draw,n,tau,cum_frac_dir,cum_frac_bc
compute_invoices,peer,4,0.85,1.0,1.0
compute_invoices,peer,4,0.9,1.0,1.0
compute_invoices,peer,4,0.95,1.0,1.0
compute_invoices,peer,4,1.0,1.0,1.0
compute_invoices,peer,8,0.0,0.0,0.125
compute_invoices,peer,8,0.05,0.021739130434782608,0.35535714285714287
compute_invoices,peer,8,0.1,0.2930409317877349,0.5946428571428571
compute_invoices,peer,8,0.15,0.5815231230832254,0.8232142857142858
compute_invoices,peer,8,0.2,0.6925908703402309,0.9357142857142857
compute_invoices,peer,8,0.25,0.7550957141749981,0.9625
compute_invoices,peer,8,0.3,0.8038606747046645,0.9767857142857143
compute_invoices,peer,8,0.35,0.8897819997564244,0.9946428571428572
compute_invoices,peer,8,0.4,0.9782608695652174,1.0
compute_invoices,peer,8,0.45,0.9855072463768115,1.0
compute_invoices,peer,8,0.5,0.9855072463768115,1.0
compute_invoices,peer,8,0.55,0.9855072463768115,1.0
compute_invoices,peer,8,0.6,0.9927536231884058,1.0
compute_invoices,peer,8,0.65,1.0,1.0
compute_invoices,peer,8,0.7,1.0,1.0
compute_invoices,peer,8,0.75,1.0,1.0
compute_invoices,peer,8,0.8,1.0,1.0
compute_invoices,peer,8,0.85,1.0,1.0
compute_invoices,peer,8,0.9,1.0,1.0
compute_invoices,peer,8,0.95,1.0,1.0
compute_invoices,peer,8,1.0,1.0,1.0
